last_affected_version,security_issue,url
2.4.5,DoS,https://github.com/389ds/389-ds-base/security/advisories/GHSA-h889-v4mc-prq9
1.3.7.2,DoS,https://github.com/389ds/389-ds-base/security/advisories/GHSA-xrmw-x68q-3g3q
1.3.11.1,DoS,https://github.com/389ds/389-ds-base/security/advisories/GHSA-3vv9-2qhh-vpvw
1.4.3.31,DoS-HeapOverflow,https://github.com/389ds/389-ds-base/security/advisories/GHSA-5wrh-89cg-j4pv
2.0.17,DoS-HeapOverflow,https://github.com/389ds/389-ds-base/security/advisories/GHSA-5wrh-89cg-j4pv
2.1.6,DoS-HeapOverflow,https://github.com/389ds/389-ds-base/security/advisories/GHSA-5wrh-89cg-j4pv
2.2.4,DoS-HeapOverflow,https://github.com/389ds/389-ds-base/security/advisories/GHSA-5wrh-89cg-j4pv
2.3.1,DoS-HeapOverflow,https://github.com/389ds/389-ds-base/security/advisories/GHSA-5wrh-89cg-j4pv
1.3.5.19,PwdBruteForce,https://www.cve.org/CVERecord?id=CVE-2017-7551
1.3.6.7,PwdBruteForce,https://www.cve.org/CVERecord?id=CVE-2017-7551
1.3.4.7,DoS,https://www.cve.org/CVERecord?id=CVE-2016-0741
1.3.3.12,DisabledCipher,https://www.cve.org/CVERecord?id=CVE-2015-3230
1.3.3.10,UnauthorizedModification,https://www.cve.org/CVERecord?id=CVE-2015-1854
1.3.2.27,SensInfoLeak,https://www.cve.org/CVERecord?id=CVE-2014-8105
1.3.3.9,SensInfoLeak,https://www.cve.org/CVERecord?id=CVE-2014-8105
1.2.11.26,PrivilegeEscalation,https://www.cve.org/CVERecord?id=CVE-2014-0132
1.2.11.15,DoS,https://www.cve.org/CVERecord?id=CVE-2013-4485
1.3.0.8,DoS,https://www.cve.org/CVERecord?id=CVE-2013-4283
1.2.11.20,SensInfoLeak,https://www.cve.org/CVERecord?id=CVE-2013-1897
1.3.0.5,SensInfoLeak,https://www.cve.org/CVERecord?id=CVE-2013-1897
1.3.0.4,DoS,https://www.cve.org/CVERecord?id=CVE-2013-0312
1.2.10,InfoBypass,https://www.cve.org/CVERecord?id=CVE-2012-4450
1.2.11.6,PwdClearText,https://www.cve.org/CVERecord?id=CVE-2012-2746
1.2.10,DoS,https://www.cve.org/CVERecord?id=CVE-2012-0833
1.2.8.a2,DoS,https://www.cve.org/CVERecord?id=CVE-2011-1067
1.2.7.5,DoS,https://www.cve.org/CVERecord?id=CVE-2011-0704
1.2.7.1,PwdClearText,https://www.cve.org/CVERecord?id=CVE-2010-3282
